brand,model,year,km_driven,fuel_type,transmission,number_of_owners,location,selling_price
Toyota,Yaris,2016,166554,Diesel,Manual,First,Bangalore,1.58
Toyota,Fortuner,2009,152519,Petrol,Manual,First,Hyderabad,1.78
Tata,Hexa,2016,184300,LPG,Automatic,Second,Chennai,0.61
Renault,Captur,2014,88265,Petrol,Automatic,First,Mumbai,1.47
Tata,Punch,2012,55126,Petrol,Manual,Second,Ahmedabad,0.98
Renault,Triber,2014,25545,Petrol,Manual,Fourth & Above,Chennai,0.74
Renault,Captur,2020,60114,Diesel,Manual,Third,Pune,3.02
Mahindra,Scorpio,2016,98740,CNG,Manual,First,Hyderabad,1.4
Tata,Punch,2015,193873,CNG,Manual,First,Ahmedabad,0.5
Hyundai,i20,2023,18890,Diesel,Manual,First,Lucknow,5.01
Honda,BR-V,2013,126284,Petrol,Automatic,First,Delhi,1.71
Honda,WR-V,2023,57482,Diesel,Manual,Second,Jaipur,4.91
Tata,Tiago,2020,199469,Diesel,Manual,Second,Lucknow,0.89
Tata,Safari,2011,137812,Diesel,Manual,Second,Bangalore,0.96
Chevrolet,Cruze,2020,166193,LPG,Manual,First,Mumbai,1.41
Mahindra,XUV500,2022,147290,CNG,Manual,Second,Delhi,2.1
Tata,Altroz,2008,76591,Diesel,Manual,First,Ahmedabad,1.23
Chevrolet,Tavera,2013,93241,Petrol,Manual,First,Lucknow,0.88
Renault,Duster,2010,39722,Diesel,Automatic,Second,Pune,1.51
Toyota,Glanza,2013,54431,LPG,Manual,First,Mumbai,1.7
Toyota,Camry,2013,187615,Petrol,Manual,Second,Jaipur,0.98
Renault,Kwid,2021,47000,CNG,Manual,First,Hyderabad,2.04
Ford,Ikon,2011,76975,Petrol,Manual,First,Lucknow,0.77
Chevrolet,Enjoy,2009,35921,Diesel,Manual,First,Bangalore,1.4
Chevrolet,Tavera,2022,104265,Diesel,Automatic,Second,Hyderabad,2.76
Renault,Fluence,2016,93747,Diesel,Manual,First,Pune,1.27
Hyundai,Creta,2009,166686,LPG,Manual,Second,Bangalore,0.94
Nissan,Evalia,2010,197261,Petrol,Manual,Second,Ahmedabad,0.5
Maruti Suzuki,Wagon R,2017,22601,Petrol,Manual,First,Mumbai,2.06
Renault,Fluence,2008,98332,Diesel,Manual,Third,Kolkata,0.86
Tata,Safari,2014,128254,Petrol,Automatic,Third,Ahmedabad,0.85
Tata,Altroz,2022,156586,Diesel,Manual,Third,Bangalore,1.63
Mahindra,XUV300,2008,124004,Petrol,Automatic,Second,Lucknow,0.85
Renault,Duster,2018,152364,Petrol,Manual,First,Pune,1.0
Mahindra,XUV300,2016,167582,Diesel,Manual,First,Lucknow,0.73
Renault,Duster,2018,33000,Diesel,Manual,Second,Delhi,2.31
Chevrolet,Spark,2018,135439,Petrol,Manual,First,Jaipur,0.91
Maruti Suzuki,Swift,2008,124277,Petrol,Manual,Second,Delhi,0.82
Chevrolet,Spark,2012,35383,Petrol,Automatic,First,Kolkata,1.03
Nissan,Kicks,2014,147857,Diesel,Manual,First,Bangalore,1.16
Toyota,Innova,2010,45910,Petrol,Manual,First,Lucknow,2.35
Honda,Civic,2016,175100,Diesel,Automatic,First,Jaipur,1.54
Renault,Captur,2015,160927,Diesel,Manual,First,Jaipur,0.67
Nissan,Magnite,2020,29281,Diesel,Automatic,Third,Hyderabad,3.35
Toyota,Camry,2022,118838,Petrol,Manual,First,Lucknow,5.71
Ford,Mustang,2010,9841,Diesel,Manual,First,Kolkata,3.45
Maruti Suzuki,Vitara Brezza,2022,102204,LPG,Manual,First,Jaipur,2.58
Mahindra,Thar,2012,65155,Petrol,Manual,First,Hyderabad,1.47
Mahindra,Bolero,2014,162990,Petrol,Automatic,First,Delhi,0.91
Chevrolet,Aveo,2019,61313,Diesel,Automatic,Second,Lucknow,1.73
Tata,Harrier,2021,116688,Petrol,Manual,Second,Mumbai,2.86
Toyota,Urban Cruiser,2011,153515,Diesel,Manual,Third,Lucknow,0.67
Ford,Figo,2012,168322,CNG,Manual,First,Lucknow,0.53
Nissan,Evalia,2010,137994,Diesel,Manual,First,Chennai,0.87
Maruti Suzuki,Dzire,2016,36976,Diesel,Manual,Second,Lucknow,1.25
Toyota,Etios,2017,148063,Diesel,Manual,First,Ahmedabad,1.65
Ford,EcoSport,2016,109405,Petrol,Automatic,First,Pune,1.59
Honda,BR-V,2014,58744,Petrol,Manual,Second,Delhi,1.7
Renault,Captur,2017,158805,LPG,Automatic,Second,Kolkata,0.94
Mahindra,Scorpio,2009,7473,LPG,Manual,First,Jaipur,1.25
Nissan,GT-R,2014,144180,CNG,Automatic,First,Pune,2.52
Mahindra,XUV500,2014,33715,LPG,Manual,First,Pune,1.27
Nissan,Micra,2018,168282,Petrol,Manual,First,Hyderabad,1.03
Chevrolet,Tavera,2012,42317,Petrol,Automatic,First,Kolkata,1.3
Tata,Hexa,2023,70516,Petrol,Automatic,First,Bangalore,5.11
Nissan,Sunny,2016,169434,Petrol,Automatic,First,Bangalore,0.84
Mahindra,Bolero,2020,59604,CNG,Manual,Second,Kolkata,2.14
Chevrolet,Aveo,2019,9889,Electric,Automatic,Second,Chennai,3.05
Nissan,Magnite,2018,78748,CNG,Manual,Second,Kolkata,1.6
Honda,WR-V,2010,36971,Diesel,Manual,First,Jaipur,2.03
Tata,Nexon,2023,55551,Petrol,Manual,First,Kolkata,4.54
Nissan,Sunny,2011,139273,Petrol,Automatic,First,Chennai,1.02
Chevrolet,Beat,2008,113957,Petrol,Manual,First,Chennai,0.67
Toyota,Yaris,2013,94882,Diesel,Manual,Fourth & Above,Mumbai,1.29
Hyundai,Tucson,2011,42958,Diesel,Manual,Second,Lucknow,1.86
Ford,Figo,2008,10681,LPG,Manual,First,Chennai,1.1
Hyundai,i20,2009,106982,LPG,Manual,First,Chennai,0.93
Hyundai,Creta,2022,51870,Petrol,Manual,First,Jaipur,4.91
Maruti Suzuki,Ciaz,2010,133396,Petrol,Manual,First,Chennai,1.01
Honda,Amaze,2016,72203,Diesel,Manual,First,Hyderabad,1.98
Toyota,Camry,2020,164224,Petrol,Automatic,First,Mumbai,5.29
Renault,Captur,2015,55061,CNG,Manual,First,Hyderabad,1.15
Nissan,Evalia,2014,193691,Diesel,Manual,First,Delhi,0.78
Ford,Figo,2020,63235,Petrol,Manual,Second,Ahmedabad,2.75
Tata,Nexon,2022,42890,Diesel,Manual,First,Mumbai,4.4
Toyota,Urban Cruiser,2018,95073,Diesel,Manual,Second,Lucknow,1.87
Mahindra,KUV100,2019,66401,LPG,Automatic,First,Bangalore,2.13
Renault,Captur,2021,16217,Petrol,Manual,Second,Ahmedabad,3.49
Maruti Suzuki,Swift,2011,53351,LPG,Manual,First,Lucknow,1.11
Maruti Suzuki,Swift,2008,38741,Diesel,Manual,First,Ahmedabad,1.65
Toyota,Fortuner,2015,156726,Diesel,Automatic,First,Kolkata,1.45
Chevrolet,Cruze,2011,197386,Petrol,Automatic,First,Kolkata,0.53
Hyundai,Creta,2010,6408,Diesel,Manual,First,Ahmedabad,2.64
Mahindra,Scorpio,2023,47903,Diesel,Manual,First,Lucknow,3.45
Maruti Suzuki,Ciaz,2016,112042,Diesel,Manual,Second,Kolkata,1.16
Ford,Aspire,2017,137290,CNG,Manual,First,Jaipur,1.06
Maruti Suzuki,Ciaz,2011,186644,Diesel,Manual,First,Mumbai,0.88
Tata,Punch,2011,194870,LPG,Manual,First,Kolkata,0.5
Nissan,Kicks,2021,127189,Petrol,Manual,First,Bangalore,2.8
Maruti Suzuki,Baleno,2016,114268,CNG,Automatic,Third,Bangalore,1.04
Tata,Nexon,2020,35105,Petrol,Manual,Fourth & Above,Delhi,1.98
Toyota,Camry,2019,74634,CNG,Automatic,First,Bangalore,6.37
Toyota,Camry,2018,122426,LPG,Manual,First,Hyderabad,2.74
Renault,Pulse,2019,143691,Petrol,Manual,Second,Ahmedabad,0.93
Maruti Suzuki,Dzire,2021,148011,Diesel,Manual,First,Ahmedabad,2.11
Ford,Endeavour,2009,23226,Diesel,Manual,Second,Ahmedabad,2.12
Maruti Suzuki,Vitara Brezza,2021,30322,Petrol,Manual,Fourth & Above,Mumbai,3.1
Ford,Ikon,2019,122504,Diesel,Manual,Second,Hyderabad,1.57
Honda,City,2023,63215,Petrol,Manual,First,Delhi,5.46
Renault,Triber,2012,152950,LPG,Manual,Second,Lucknow,0.5
Honda,Jazz,2022,142632,LPG,Automatic,Fourth & Above,Chennai,1.99
Maruti Suzuki,Ertiga,2011,174350,Diesel,Manual,Second,Kolkata,0.74
Renault,Scala,2016,172284,Diesel,Manual,First,Mumbai,0.87
Honda,Amaze,2019,99835,Diesel,Manual,Third,Chennai,2.01
Hyundai,i20,2012,78079,Petrol,Automatic,Fourth & Above,Chennai,0.86
Maruti Suzuki,Vitara Brezza,2016,28946,Diesel,Manual,Third,Jaipur,1.46
Honda,City,2018,167812,Diesel,Manual,First,Jaipur,1.43
Hyundai,Venue,2023,115733,LPG,Manual,Second,Lucknow,2.63
Hyundai,i20,2016,12253,Diesel,Manual,Second,Mumbai,2.48
Toyota,Yaris,2021,84311,Diesel,Manual,First,Ahmedabad,4.8
Maruti Suzuki,Ciaz,2009,37813,CNG,Manual,First,Chennai,1.2
Hyundai,Venue,2021,163704,Petrol,Manual,Second,Chennai,1.98
Toyota,Camry,2022,53365,Diesel,Manual,Third,Kolkata,5.29
Honda,City,2016,72593,Diesel,Manual,Third,Delhi,1.69
Tata,Punch,2010,169503,Petrol,Manual,First,Mumbai,0.73
Maruti Suzuki,Ertiga,2011,173508,Diesel,Manual,First,Kolkata,0.68
Renault,Lodgy,2023,154485,Diesel,Manual,First,Hyderabad,2.2
Ford,Fiesta,2008,43485,Diesel,Automatic,Third,Lucknow,1.53
Ford,Ikon,2021,116504,Diesel,Manual,First,Jaipur,1.76
Honda,City,2008,21101,Diesel,Manual,Second,Delhi,1.99
Chevrolet,Tavera,2008,13831,CNG,Manual,Second,Ahmedabad,0.97
Chevrolet,Beat,2016,56897,LPG,Manual,Third,Hyderabad,0.63
Honda,Amaze,2018,10004,Petrol,Manual,First,Delhi,3.63
Hyundai,Venue,2015,50924,Electric,Automatic,Second,Kolkata,2.27
Maruti Suzuki,Swift,2012,157581,Diesel,Manual,Fourth & Above,Hyderabad,0.55
Ford,Ikon,2012,42170,CNG,Manual,Second,Bangalore,0.97
Ford,Fiesta,2016,48555,Diesel,Automatic,First,Delhi,2.18
Hyundai,Verna,2010,150734,Petrol,Manual,First,Pune,1.11
Ford,EcoSport,2010,123115,Petrol,Automatic,Second,Lucknow,0.96
Renault,Lodgy,2014,109216,Diesel,Manual,First,Pune,0.9
Maruti Suzuki,Dzire,2016,70930,Diesel,Manual,Second,Chennai,1.57
Nissan,Evalia,2013,183475,Diesel,Manual,Second,Mumbai,0.68
Ford,Freestyle,2021,41365,Diesel,Manual,Fourth & Above,Kolkata,2.55
Honda,WR-V,2009,67188,Petrol,Automatic,First,Mumbai,2.21
Renault,Scala,2023,103633,Petrol,Automatic,Second,Ahmedabad,2.04
Ford,Endeavour,2008,162745,Diesel,Manual,First,Delhi,1.2
Renault,Scala,2009,68471,Petrol,Automatic,First,Jaipur,0.99
Toyota,Fortuner,2021,153228,Diesel,Manual,First,Jaipur,4.44
Nissan,Sunny,2021,62287,Petrol,Automatic,Second,Bangalore,3.09
Mahindra,Thar,2008,137717,CNG,Automatic,Second,Pune,0.97
Honda,WR-V,2017,64076,Petrol,Manual,First,Jaipur,2.37
Honda,Amaze,2017,121475,Petrol,Manual,First,Hyderabad,1.53
Maruti Suzuki,Dzire,2016,55151,Diesel,Automatic,Second,Chennai,1.5
Renault,Kwid,2023,72384,Diesel,Manual,Second,Bangalore,2.28
Hyundai,Elantra,2022,104865,Petrol,Automatic,Second,Delhi,4.38
Honda,Accord,2017,38541,LPG,Manual,Fourth & Above,Lucknow,1.69
Renault,Duster,2022,77847,Petrol,Manual,Third,Lucknow,1.99
Renault,Triber,2019,55955,Diesel,Manual,First,Mumbai,2.9
Tata,Tiago,2023,145362,Petrol,Manual,First,Lucknow,1.54
Tata,Hexa,2021,195014,Petrol,Manual,First,Mumbai,1.75
Mahindra,Marazzo,2020,166215,Diesel,Manual,Second,Chennai,1.44
Toyota,Corolla,2015,160581,Petrol,Manual,First,Chennai,1.22
Mahindra,XUV700,2022,92780,CNG,Automatic,Second,Jaipur,3.24
Ford,EcoSport,2014,172813,Petrol,Manual,First,Lucknow,0.59
Hyundai,Tucson,2022,162970,Diesel,Automatic,Third,Mumbai,2.69
Ford,Freestyle,2010,104919,Petrol,Manual,Second,Chennai,1.01
Chevrolet,Cruze,2015,117854,Petrol,Manual,First,Bangalore,0.92
Ford,Figo,2009,199020,Petrol,Automatic,First,Jaipur,0.53
Maruti Suzuki,Dzire,2009,66768,CNG,Manual,First,Kolkata,0.98
Ford,Freestyle,2018,48262,Diesel,Automatic,Second,Jaipur,2.57
Mahindra,Scorpio,2017,141578,CNG,Manual,Second,Lucknow,0.73
Honda,CR-V,2010,25605,Diesel,Manual,Second,Pune,2.67
Honda,WR-V,2014,83590,CNG,Automatic,First,Jaipur,1.09
Tata,Hexa,2008,33231,Diesel,Manual,First,Mumbai,1.76
Hyundai,Elantra,2015,84397,Petrol,Manual,First,Chennai,1.66
Hyundai,Venue,2019,82123,Petrol,Manual,First,Chennai,2.36
Maruti Suzuki,Dzire,2014,18515,Diesel,Automatic,First,Lucknow,1.8
Mahindra,Scorpio,2011,92211,Diesel,Automatic,First,Lucknow,1.28
Tata,Tigor,2021,174694,Petrol,Manual,First,Pune,1.35
Chevrolet,Enjoy,2022,21600,Diesel,Automatic,Second,Lucknow,3.59
Hyundai,Creta,2012,163964,Diesel,Automatic,Third,Mumbai,1.06
Honda,WR-V,2017,74310,Diesel,Automatic,First,Lucknow,2.69
Ford,Fiesta,2020,157873,Petrol,Manual,Second,Kolkata,1.62
Ford,Endeavour,2008,173767,Diesel,Manual,First,Bangalore,1.11
Tata,Safari,2011,164925,Petrol,Automatic,First,Mumbai,1.2
Mahindra,XUV700,2023,140501,Petrol,Manual,Third,Pune,1.76
Mahindra,XUV300,2022,140678,Diesel,Automatic,First,Bangalore,2.63
Toyota,Glanza,2023,140550,Petrol,Manual,First,Chennai,2.83
Nissan,Evalia,2008,119380,Petrol,Manual,First,Jaipur,0.68
Hyundai,Santro,2008,176206,Petrol,Automatic,First,Delhi,0.8
Mahindra,XUV700,2017,116780,Diesel,Automatic,Second,Mumbai,2.12
Honda,Accord,2008,161547,Petrol,Manual,First,Lucknow,1.5
Tata,Altroz,2014,71177,Petrol,Manual,First,Pune,1.13
Chevrolet,Captiva,2014,157802,Diesel,Automatic,Third,Mumbai,0.68
Toyota,Camry,2023,157185,Diesel,Automatic,First,Mumbai,7.6
Renault,Pulse,2023,156083,Electric,Manual,First,Hyderabad,2.74
Maruti Suzuki,Baleno,2011,60746,Petrol,Manual,Third,Delhi,1.06
Chevrolet,Cruze,2022,128075,Petrol,Automatic,First,Chennai,3.09
Renault,Fluence,2020,178925,Diesel,Manual,Third,Chennai,1.19
Ford,Fiesta,2019,90195,Petrol,Automatic,Fourth & Above,Delhi,1.87
Maruti Suzuki,Ertiga,2009,41818,LPG,Manual,First,Pune,1.16
Hyundai,Creta,2019,173393,Diesel,Manual,First,Lucknow,1.66
Honda,Accord,2010,26309,Petrol,Manual,First,Delhi,2.93
Maruti Suzuki,Baleno,2015,154760,CNG,Manual,Third,Ahmedabad,0.5
Nissan,Micra,2020,33176,Petrol,Automatic,First,Chennai,3.07
Renault,Lodgy,2015,73879,Electric,Automatic,Second,Mumbai,1.17
Hyundai,i10,2018,72592,LPG,Manual,Fourth & Above,Hyderabad,0.92
Nissan,Magnite,2018,89728,Diesel,Automatic,Second,Pune,2.4
Ford,Freestyle,2013,145488,Petrol,Manual,Third,Pune,0.57
Nissan,Kicks,2022,176066,Petrol,Automatic,Second,Bangalore,2.48
Toyota,Innova,2017,13584,Petrol,Manual,Third,Lucknow,2.51
Toyota,Camry,2016,129555,Petrol,Manual,First,Hyderabad,2.96
Tata,Harrier,2018,98302,Diesel,Manual,Second,Pune,2.45
Chevrolet,Captiva,2019,127408,LPG,Manual,Second,Lucknow,1.18
Chevrolet,Trailblazer,2016,23830,Diesel,Automatic,First,Lucknow,1.81
Hyundai,i20,2011,82066,Diesel,Manual,First,Jaipur,1.12
Ford,Fiesta,2023,8591,Diesel,Manual,Second,Bangalore,4.63
Mahindra,KUV100,2019,98878,LPG,Manual,First,Bangalore,1.89
Toyota,Etios,2008,130407,Petrol,Manual,First,Chennai,0.96
Hyundai,i20,2008,121869,Diesel,Manual,First,Bangalore,1.25
Mahindra,Bolero,2022,26395,CNG,Manual,Fourth & Above,Chennai,2.27
Chevrolet,Spark,2019,190254,CNG,Manual,First,Pune,0.65
Tata,Tiago,2017,21738,LPG,Automatic,Second,Mumbai,1.83
Nissan,X-Trail,2022,138703,Diesel,Manual,First,Delhi,3.89
Toyota,Yaris,2012,153977,Petrol,Manual,First,Lucknow,1.03
Hyundai,Santro,2021,24056,Diesel,Automatic,First,Pune,4.25
Maruti Suzuki,Dzire,2020,126656,Petrol,Automatic,Second,Pune,1.84
Mahindra,Bolero,2009,120316,Diesel,Automatic,Second,Mumbai,1.16
Nissan,X-Trail,2022,171519,Diesel,Manual,Second,Pune,2.64
Toyota,Etios,2013,59418,Diesel,Manual,Second,Jaipur,1.46
Chevrolet,Trailblazer,2014,42190,LPG,Automatic,First,Ahmedabad,1.46
Ford,Figo,2008,31014,Diesel,Manual,Second,Lucknow,1.05
Mahindra,KUV100,2013,186350,Petrol,Manual,First,Kolkata,0.5
Chevrolet,Captiva,2015,130563,Petrol,Manual,First,Chennai,0.95
Toyota,Corolla,2019,6780,LPG,Manual,Third,Pune,3.25
Mahindra,XUV700,2012,195330,Petrol,Automatic,Third,Kolkata,0.53
Nissan,GT-R,2021,47192,Petrol,Manual,First,Pune,10.55
Toyota,Urban Cruiser,2019,195372,Petrol,Automatic,Third,Lucknow,0.85
Renault,Duster,2014,109875,Diesel,Manual,Second,Bangalore,0.93
Hyundai,Venue,2017,104129,Petrol,Automatic,First,Hyderabad,1.93
Nissan,Evalia,2013,48923,LPG,Manual,First,Ahmedabad,1.13
Mahindra,XUV500,2011,94196,Electric,Manual,Fourth & Above,Kolkata,0.93
Ford,Aspire,2022,7395,Electric,Manual,Second,Kolkata,5.29
Chevrolet,Captiva,2022,107449,Petrol,Automatic,First,Chennai,2.69
Maruti Suzuki,Alto,2014,126747,LPG,Automatic,Second,Lucknow,0.55
Chevrolet,Captiva,2017,151851,Electric,Manual,First,Kolkata,1.63
Mahindra,KUV100,2016,76028,LPG,Manual,First,Lucknow,0.78
Chevrolet,Beat,2017,165794,Diesel,Automatic,Second,Ahmedabad,0.66
Hyundai,Verna,2017,143183,Diesel,Automatic,First,Kolkata,1.71
Toyota,Corolla,2023,146056,Petrol,Manual,Second,Jaipur,3.4
Maruti Suzuki,Wagon R,2020,98176,LPG,Automatic,Third,Mumbai,1.56
Honda,Accord,2014,31924,Petrol,Manual,Fourth & Above,Hyderabad,1.77
Mahindra,KUV100,2019,188775,Petrol,Manual,Second,Kolkata,0.78
Tata,Tiago,2021,37577,Electric,Manual,Third,Chennai,2.53
Honda,City,2012,143783,Diesel,Automatic,Third,Bangalore,1.11
Chevrolet,Beat,2014,90548,Petrol,Manual,First,Lucknow,0.77
Mahindra,XUV700,2010,130093,Electric,Manual,Third,Hyderabad,1.05
Renault,Scala,2009,140168,Electric,Automatic,First,Delhi,1.25
Tata,Safari,2018,71555,Petrol,Manual,First,Kolkata,2.43
Maruti Suzuki,Ciaz,2022,94848,LPG,Automatic,Second,Delhi,2.94
Ford,Figo,2012,13254,Petrol,Automatic,First,Hyderabad,1.94
Renault,Triber,2011,130410,Petrol,Automatic,First,Pune,0.97
Honda,Amaze,2012,142037,Petrol,Manual,Second,Lucknow,0.71
Toyota,Yaris,2015,194059,Petrol,Manual,First,Hyderabad,0.94
Hyundai,Santro,2019,108025,Petrol,Automatic,Fourth & Above,Jaipur,0.95
Ford,Aspire,2011,135509,Petrol,Manual,First,Delhi,0.79
Renault,Captur,2022,37963,LPG,Manual,Third,Jaipur,1.93
Toyota,Fortuner,2016,8273,Diesel,Automatic,First,Hyderabad,4.3
Toyota,Innova,2014,20330,LPG,Manual,Second,Delhi,2.02
Mahindra,Marazzo,2017,157566,Diesel,Automatic,First,Lucknow,1.3
Renault,Fluence,2020,81422,Petrol,Manual,Second,Delhi,2.27
Maruti Suzuki,Dzire,2019,127089,LPG,Manual,First,Chennai,1.66
Chevrolet,Captiva,2014,8212,LPG,Manual,First,Delhi,1.53
Tata,Tiago,2022,92594,Petrol,Manual,First,Mumbai,2.28
Tata,Harrier,2020,137152,Petrol,Manual,First,Pune,2.46
Honda,Amaze,2020,37675,Diesel,Automatic,Fourth & Above,Lucknow,2.68
Honda,WR-V,2015,27007,Diesel,Manual,First,Kolkata,2.29
Tata,Nexon,2019,118805,LPG,Manual,Second,Bangalore,1.39
Maruti Suzuki,Vitara Brezza,2013,87641,Petrol,Automatic,Second,Mumbai,1.48
Hyundai,Santro,2015,100815,Petrol,Manual,First,Jaipur,0.88
Nissan,Kicks,2010,51815,Diesel,Manual,First,Ahmedabad,1.65
Chevrolet,Captiva,2017,88482,Diesel,Automatic,First,Pune,1.87
Hyundai,Tucson,2017,5639,Petrol,Manual,First,Pune,3.48
Mahindra,Thar,2021,68593,Petrol,Automatic,First,Chennai,4.58
Nissan,X-Trail,2008,83038,Diesel,Automatic,First,Delhi,2.15
Nissan,Magnite,2023,98899,Diesel,Automatic,First,Chennai,4.49
Renault,Scala,2013,8736,Petrol,Automatic,Second,Delhi,1.45
Maruti Suzuki,Swift,2008,21473,Diesel,Manual,Second,Hyderabad,1.51
Maruti Suzuki,Vitara Brezza,2016,133771,CNG,Automatic,Second,Jaipur,0.87
Nissan,GT-R,2021,130801,Electric,Automatic,First,Delhi,14.38
Renault,Captur,2009,170091,Petrol,Manual,First,Jaipur,0.6
Chevrolet,Spark,2018,112598,Petrol,Manual,First,Jaipur,1.0
Nissan,Evalia,2009,91623,LPG,Automatic,First,Ahmedabad,1.12
Ford,Figo,2014,41820,Petrol,Manual,First,Mumbai,1.49
Honda,Civic,2009,62589,Diesel,Automatic,Third,Kolkata,1.73
Honda,Amaze,2017,23414,Diesel,Manual,First,Lucknow,2.24
Hyundai,Venue,2015,132378,Petrol,Manual,First,Chennai,1.21
Mahindra,Bolero,2013,29220,Diesel,Manual,Second,Hyderabad,1.4
Honda,Jazz,2021,65531,Diesel,Manual,Second,Ahmedabad,4.41
Toyota,Corolla,2014,115002,Diesel,Manual,First,Lucknow,1.83
Hyundai,Elantra,2014,178497,Petrol,Manual,First,Ahmedabad,0.76
Honda,Civic,2023,14387,Electric,Manual,Third,Delhi,8.69
Mahindra,Bolero,2013,81815,Diesel,Automatic,First,Bangalore,1.25
Maruti Suzuki,Baleno,2017,32584,Diesel,Manual,Second,Lucknow,2.12
Maruti Suzuki,Ciaz,2018,49783,LPG,Automatic,Third,Lucknow,1.5
Chevrolet,Tavera,2016,175881,Diesel,Manual,Third,Hyderabad,0.5
Nissan,X-Trail,2020,190399,CNG,Manual,First,Chennai,1.44
Ford,Ikon,2016,129494,Electric,Manual,First,Pune,1.25
Maruti Suzuki,Ertiga,2022,120814,Petrol,Manual,First,Ahmedabad,2.46
Renault,Pulse,2014,135752,Diesel,Manual,First,Ahmedabad,0.8
Honda,Jazz,2016,146929,LPG,Manual,Second,Hyderabad,0.92
Renault,Triber,2020,178333,Petrol,Manual,Fourth & Above,Delhi,0.72
Mahindra,Bolero,2017,78588,Petrol,Manual,First,Delhi,1.83
Maruti Suzuki,Wagon R,2010,153067,LPG,Manual,First,Bangalore,0.6
Ford,Ikon,2010,18580,CNG,Automatic,First,Chennai,1.31
Mahindra,XUV700,2008,23240,Electric,Manual,First,Mumbai,3.44
Toyota,Corolla,2012,88446,Petrol,Automatic,First,Kolkata,2.15
Toyota,Etios,2023,109533,Petrol,Manual,First,Hyderabad,4.18
Renault,Scala,2022,182183,Petrol,Manual,Second,Lucknow,0.82
Nissan,Magnite,2011,170938,Diesel,Manual,First,Kolkata,0.75
Hyundai,Elantra,2009,85974,Diesel,Manual,First,Hyderabad,2.03
Nissan,Magnite,2023,78401,Petrol,Automatic,First,Kolkata,4.42
Chevrolet,Tavera,2016,148283,Petrol,Manual,First,Lucknow,0.72
Nissan,Evalia,2010,195057,Diesel,Manual,First,Ahmedabad,0.66
Chevrolet,Enjoy,2022,169340,Diesel,Manual,Third,Hyderabad,1.24
Chevrolet,Enjoy,2015,8646,Petrol,Manual,Third,Mumbai,1.05
Ford,Mustang,2023,191443,LPG,Automatic,First,Mumbai,4.43
Maruti Suzuki,Wagon R,2013,47816,Petrol,Manual,Second,Kolkata,0.97
Ford,Figo,2021,94460,Diesel,Manual,First,Delhi,3.47
Chevrolet,Cruze,2020,49112,LPG,Manual,First,Jaipur,2.19
Mahindra,Bolero,2012,56048,Diesel,Manual,Second,Delhi,1.24
Toyota,Corolla,2008,190983,Petrol,Manual,First,Jaipur,0.88
Chevrolet,Tavera,2023,137850,Petrol,Manual,First,Lucknow,1.72
Ford,Ikon,2011,50752,LPG,Manual,First,Delhi,0.91
Mahindra,Marazzo,2010,75726,Petrol,Automatic,First,Chennai,1.42
Ford,Figo,2008,163361,Diesel,Manual,First,Bangalore,0.86
Nissan,Magnite,2019,49788,Electric,Manual,First,Pune,4.15
Honda,Jazz,2022,9747,Electric,Manual,First,Chennai,8.17
Renault,Triber,2012,5045,Diesel,Manual,Second,Jaipur,1.19
Hyundai,Tucson,2013,12758,CNG,Automatic,First,Jaipur,2.43
Ford,Fiesta,2009,130076,Electric,Manual,First,Lucknow,1.37
Hyundai,Venue,2023,159509,Petrol,Automatic,First,Jaipur,2.59
Tata,Punch,2022,155657,Petrol,Manual,Third,Bangalore,1.63
Ford,EcoSport,2021,145926,Petrol,Manual,First,Bangalore,2.68
Honda,Jazz,2010,188148,Petrol,Manual,Third,Chennai,0.59
Hyundai,Verna,2018,61950,LPG,Manual,First,Jaipur,2.33
Chevrolet,Spark,2021,153421,Diesel,Manual,Third,Pune,0.94
Ford,Freestyle,2022,157420,LPG,Manual,First,Jaipur,1.73
Maruti Suzuki,Swift,2013,170368,CNG,Manual,First,Ahmedabad,0.63
Renault,Kwid,2011,24455,Diesel,Automatic,First,Hyderabad,1.4
Honda,Accord,2016,190093,Diesel,Automatic,First,Kolkata,1.63
Hyundai,Venue,2012,175365,Petrol,Manual,Second,Jaipur,0.56
Honda,CR-V,2011,93552,LPG,Manual,First,Chennai,1.84
Mahindra,XUV500,2009,51116,Diesel,Manual,First,Chennai,1.93
Renault,Captur,2013,125461,Diesel,Automatic,Second,Ahmedabad,0.9
Chevrolet,Captiva,2017,45484,Petrol,Manual,Third,Chennai,1.57
Ford,EcoSport,2009,166287,LPG,Manual,Fourth & Above,Hyderabad,0.5
Ford,Figo,2019,86638,LPG,Manual,First,Chennai,1.81
Ford,Ikon,2020,139476,Diesel,Manual,First,Mumbai,1.83
Renault,Fluence,2014,173332,Diesel,Automatic,First,Lucknow,0.68
Maruti Suzuki,Ciaz,2010,105647,Diesel,Automatic,Second,Jaipur,1.01
Tata,Hexa,2016,70642,Petrol,Manual,Second,Chennai,1.49
Toyota,Etios,2023,51009,Petrol,Manual,Third,Bangalore,3.81
Nissan,Micra,2018,133824,Diesel,Manual,First,Bangalore,1.64
Hyundai,i10,2012,34605,Petrol,Manual,Third,Jaipur,0.92
Maruti Suzuki,Vitara Brezza,2015,115879,Diesel,Manual,Second,Ahmedabad,1.0
Chevrolet,Cruze,2018,189277,Diesel,Manual,First,Lucknow,0.92
